,Asuminen,Palvelut,t
2022-01-07 11:00:00,941.8249443582699,2419.7484192554866,-3361.5733636137566
2022-01-07 12:00:00,922.7338981888454,2357.5586234335,-3280.2925216223457
2022-01-07 13:00:00,910.0065340758958,2402.7875658494904,-3312.794099925386
2022-01-07 14:00:00,899.4003973151046,2408.441183651489,-3307.841580966594
2022-01-07 15:00:00,916.3702161323707,2357.5586234335,-3273.928839565871
2022-01-07 16:00:00,931.2188075974785,2357.5586234335,-3288.7774310309787
2022-01-07 17:00:00,982.1282640492769,2368.8658590374976,-3350.9941230867744
2022-01-07 18:00:00,973.6433546406439,2351.905005631501,-3325.5483602721447
2022-01-07 19:00:00,992.7344008100682,2250.1398851955228,-3242.874286005591
2022-01-07 20:00:00,975.7645819928022,2187.950089373536,-3163.714671366338
2022-01-07 21:00:00,920.6126708366872,2086.1849689375576,-3006.797639774245
2022-01-07 22:00:00,880.3093511456802,1916.5764348775933,-2796.885786023274
2022-01-07 23:00:00,653.3380244647458,1893.9619636695984,-2547.299988134344
2022-01-08 00:00:00,615.1565862661378,1790.5203296350305,-2405.6769159011683
2022-01-08 01:00:00,613.0131835265346,1758.9229120532355,-2371.93609557977
2022-01-08 02:00:00,608.7263780473281,1853.7151647986198,-2462.441542845948
2022-01-08 03:00:00,632.3038081829638,1858.981401062252,-2491.285209245216
2022-01-08 04:00:00,769.4815835175732,2375.0725548982314,-3144.5541384158046
2022-01-08 05:00:00,1198.1621314382267,2906.962417525108,-4105.124548963335
2022-01-08 06:00:00,1108.1392163748894,2754.241565879767,-3862.380782254657
2022-01-08 07:00:00,977.3916492590901,2669.9817856616482,-3647.3734349207384
2022-01-08 08:00:00,990.2520656967097,2548.8583515981018,-3539.1104172948117
2022-01-08 09:00:00,970.9614410402803,2380.338791161864,-3351.300232202144
2022-01-08 10:00:00,921.6631780294051,2375.0725548982314,-3296.7357329276365
2022-01-08 11:00:00,951.6708163838509,2269.7478296255827,-3221.4186460094334
2022-01-08 12:00:00,932.3801917274214,2185.488049407463,-3117.8682411348846
2022-01-08 13:00:00,919.5197752898018,2169.6893406165664,-3089.2091159063684
2022-01-08 14:00:00,908.8027615917855,2185.488049407463,-3094.2908109992486
2022-01-08 15:00:00,925.9499835086117,2143.3581592984037,-3069.3081428070154
2022-01-08 16:00:00,940.9538026858346,2180.221813143831,-3121.1756158296653
2022-01-08 17:00:00,992.3954684363131,2148.6243955620366,-3141.0198639983496
2022-01-08 18:00:00,983.8218574778999,2159.156868089301,-3142.978725567201
2022-01-08 19:00:00,1003.1124821343294,2132.825686771139,-3135.938168905468
2022-01-08 20:00:00,985.9652602175032,2106.4945054529767,-3092.45976567048
2022-01-08 21:00:00,930.2367889878182,2059.0983790802848,-2989.335168068103
2022-01-08 22:00:00,889.5121369353562,1858.981401062252,-2748.493537997608
2022-01-08 23:00:00,660.1680437978065,1785.2540933713976,-2445.4221371692042
2022-01-09 00:00:00,617.3610369750822,1955.828694000854,-2573.189730975936
2022-01-09 01:00:00,615.2099532225558,1966.516282492662,-2581.7262357152176
2022-01-09 02:00:00,610.907785717503,2046.6731961812216,-2657.5809818987245
2022-01-09 03:00:00,634.5697069952935,2094.767344394357,-2729.3370513896507
2022-01-09 04:00:00,772.2390671569843,2645.1781517224667,-3417.417218879451
2022-01-09 05:00:00,1202.455817662268,2565.0212380339067,-3767.477055696175
2022-01-09 06:00:00,1112.1103000561584,2532.9584725584828,-3645.068772614641
2022-01-09 07:00:00,980.8941911520469,2394.01982216498,-3374.9140133170267
2022-01-09 08:00:00,993.8006936672053,2297.831525738708,-3291.6322194059135
2022-01-09 09:00:00,974.4409398944676,2201.6432293124367,-3176.0841692069043
2022-01-09 10:00:00,924.96601358636,2297.831525738708,-3222.797539325068
2022-01-09 11:00:00,955.0811861217298,2169.5804638370128,-3124.6616499587426
2022-01-09 12:00:00,935.721432348992,2148.205286853397,-3083.926719202389
2022-01-09 13:00:00,922.8149298338336,2142.861492607493,-3065.6764224413264
2022-01-09 14:00:00,912.0595110712015,2201.6432293124367,-3113.7027403836382
2022-01-09 15:00:00,929.268181091413,2206.9870235583408,-3136.255204649754
2022-01-09 16:00:00,944.3257673590978,2276.456348755092,-3220.78211611419
2022-01-09 17:00:00,995.9517774197319,2276.456348755092,-3272.4081261748242
2022-01-09 18:00:00,987.3474424096263,2292.487731492804,-3279.83517390243
2022-01-09 19:00:00,1006.707196182364,2281.8001430009963,-3288.5073391833603
2022-01-09 20:00:00,989.4985261621525,2324.550496968228,-3314.04902313038
2022-01-09 21:00:00,933.5703485964657,2137.5176983615893,-3071.088046958055
2022-01-09 22:00:00,892.6997572984639,2046.6731961812216,-2939.3729534796853
2022-01-09 23:00:00,662.533795778137,1950.48489975495,-2613.018695533087
2022-01-10 00:00:00,662.3129269838153,2082.946699459921,-2745.259626443736
2022-01-10 01:00:00,660.0601619260473,2101.37985609231,-2761.4400180183575
2022-01-10 02:00:00,655.5546318105112,2273.4226513279373,-2928.9772831384485
2022-01-10 03:00:00,675.8295173304239,2285.7114224161965,-2961.54093974662
2022-01-10 04:00:00,815.5009509120448,2678.9520972404885,-3494.4530481525335
2022-01-10 05:00:00,1243.5263118879798,3176.647326314983,-4420.173638202963
2022-01-10 06:00:00,1157.9212396927928,3262.668723932797,-4420.58996362559
2022-01-10 07:00:00,1022.7553362267081,3219.65802512389,-4242.413361350598
2022-01-10 08:00:00,1036.2719265733167,3016.8933021676144,-4053.165228740931
2022-01-10 09:00:00,1018.2498061111719,2832.561735843728,-3850.8115419549
2022-01-10 10:00:00,966.4362097825061,2764.9734948583023,-3731.4097046408083
2022-01-10 11:00:00,995.7221555334912,2629.797012887452,-3625.5191684209435
2022-01-10 12:00:00,977.7000350713465,2580.641928534416,-3558.3419636057624
2022-01-10 13:00:00,966.4362097825061,2562.208771902027,-3528.644981684533
